City_ID,City_Name,City_Weather_URL
6557228,Rückholz,http://api.openweathermap.org/data/2.5/weather?id=6557228&APPID=6fb692f7f116da3300853ca46962f8b5
5195550,Johnsonburg,http://api.openweathermap.org/data/2.5/weather?id=5195550&APPID=6fb692f7f116da3300853ca46962f8b5
4595864,Simpsonville,http://api.openweathermap.org/data/2.5/weather?id=4595864&APPID=6fb692f7f116da3300853ca46962f8b5
6357219,Encinas Reales,http://api.openweathermap.org/data/2.5/weather?id=6357219&APPID=6fb692f7f116da3300853ca46962f8b5
2967628,Vouneuil-sous-Biard,http://api.openweathermap.org/data/2.5/weather?id=2967628&APPID=6fb692f7f116da3300853ca46962f8b5
2620223,Hjerting,http://api.openweathermap.org/data/2.5/weather?id=2620223&APPID=6fb692f7f116da3300853ca46962f8b5
2814181,Wanzleben,http://api.openweathermap.org/data/2.5/weather?id=2814181&APPID=6fb692f7f116da3300853ca46962f8b5
2822601,Thüle,http://api.openweathermap.org/data/2.5/weather?id=2822601&APPID=6fb692f7f116da3300853ca46962f8b5
2808110,Windorf,http://api.openweathermap.org/data/2.5/weather?id=2808110&APPID=6fb692f7f116da3300853ca46962f8b5
2861038,Oberdurenbach,http://api.openweathermap.org/data/2.5/weather?id=2861038&APPID=6fb692f7f116da3300853ca46962f8b5
2976429,Saligny-sur-Roudon,http://api.openweathermap.org/data/2.5/weather?id=2976429&APPID=6fb692f7f116da3300853ca46962f8b5
6359929,Gijón,http://api.openweathermap.org/data/2.5/weather?id=6359929&APPID=6fb692f7f116da3300853ca46962f8b5
6556126,Königsdorf,http://api.openweathermap.org/data/2.5/weather?id=6556126&APPID=6fb692f7f116da3300853ca46962f8b5
2876147,Lohr,http://api.openweathermap.org/data/2.5/weather?id=2876147&APPID=6fb692f7f116da3300853ca46962f8b5
4279474,Smith Center,http://api.openweathermap.org/data/2.5/weather?id=4279474&APPID=6fb692f7f116da3300853ca46962f8b5
2610155,Virum,http://api.openweathermap.org/data/2.5/weather?id=2610155&APPID=6fb692f7f116da3300853ca46962f8b5
